=== MNIST-Pipe battery ===
building statistics layer (features are the environment)…
stats layer: 677 fixed dims (zones + profiles + grad-hist + PCA)
centroid baseline (no evolution): 0.8893
--- LAYER 2a: detector genomes (10x one-vs-rest) ---
  [det0] gen 1: val_logprob=-1.0214 val_acc=0.7609
  [det0] gen 200: val_logprob=-0.5165 val_acc=0.9111
  [det0] gen 400: val_logprob=-0.3210 val_acc=0.9474
  [det0] gen 600: val_logprob=-0.2315 val_acc=0.9626
  [det0] gen 800: val_logprob=-0.1922 val_acc=0.9736
  [det0] gen 1000: val_logprob=-0.1772 val_acc=0.9775
  [det0] gen 1200: val_logprob=-0.1506 val_acc=0.9803
  [det0] gen 1400: val_logprob=-0.1595 val_acc=0.9791
  [det0] gen 1600: val_logprob=-0.1313 val_acc=0.9848
  [det0] gen 1800: val_logprob=-0.1219 val_acc=0.9832
  [det0] gen 2000: val_logprob=-0.1210 val_acc=0.9828
  [det0] gen 2200: val_logprob=-0.1269 val_acc=0.9802
  [det0] gen 2400: val_logprob=-0.1192 val_acc=0.9853
  [det0] gen 2600: val_logprob=-0.1403 val_acc=0.9810
  [det0] gen 2800: val_logprob=-0.1301 val_acc=0.9852
  [det0] gen 3000: val_logprob=-0.1268 val_acc=0.9835
  [det0] gen 3200: val_logprob=-0.1355 val_acc=0.9851
  [det0] gen 3400: val_logprob=-0.1234 val_acc=0.9849
  [det0] gen 3600: val_logprob=-0.1240 val_acc=0.9859
  [det0] gen 3800: val_logprob=-0.1342 val_acc=0.9863
  [det0] gen 4000: val_logprob=-0.1532 val_acc=0.9834
  [det0] gen 4200: val_logprob=-0.1543 val_acc=0.9844
  [det0] gen 4400: val_logprob=-0.1486 val_acc=0.9836
  [det0] gen 4600: val_logprob=-0.1696 val_acc=0.9811
  [det0] gen 4800: val_logprob=-0.1849 val_acc=0.9817
  [det0] gen 5000: val_logprob=-0.1822 val_acc=0.9810
[detector 0] done: balanced val_acc=0.9853
  [det1] gen 1: val_logprob=-1.0649 val_acc=0.7833
  [det1] gen 200: val_logprob=-0.4529 val_acc=0.9163
  [det1] gen 400: val_logprob=-0.3684 val_acc=0.9468
  [det1] gen 600: val_logprob=-0.2613 val_acc=0.9669
  [det1] gen 800: val_logprob=-0.2069 val_acc=0.9774
  [det1] gen 1000: val_logprob=-0.1879 val_acc=0.9782
  [det1] gen 1200: val_logprob=-0.1632 val_acc=0.9805
  [det1] gen 1400: val_logprob=-0.1322 val_acc=0.9874
  [det1] gen 1600: val_logprob=-0.1317 val_acc=0.9876
  [det1] gen 1800: val_logprob=-0.1310 val_acc=0.9875
  [det1] gen 2000: val_logprob=-0.1206 val_acc=0.9876
  [det1] gen 2200: val_logprob=-0.1264 val_acc=0.9879
  [det1] gen 2400: val_logprob=-0.1374 val_acc=0.9848
  [det1] gen 2600: val_logprob=-0.1473 val_acc=0.9846
  [det1] gen 2800: val_logprob=-0.1534 val_acc=0.9843
  [det1] gen 3000: val_logprob=-0.1314 val_acc=0.9865
  [det1] gen 3200: val_logprob=-0.1339 val_acc=0.9861
  [det1] gen 3400: val_logprob=-0.1338 val_acc=0.9839
  [det1] gen 3600: val_logprob=-0.1494 val_acc=0.9890
  [det1] gen 3800: val_logprob=-0.1269 val_acc=0.9883
  [det1] gen 4000: val_logprob=-0.1392 val_acc=0.9867
  [det1] gen 4200: val_logprob=-0.1510 val_acc=0.9867
  [det1] gen 4400: val_logprob=-0.1200 val_acc=0.9894
  [det1] gen 4600: val_logprob=-0.1252 val_acc=0.9891
  [det1] gen 4800: val_logprob=-0.1428 val_acc=0.9865
  [det1] gen 5000: val_logprob=-0.1330 val_acc=0.9903
[detector 1] done: balanced val_acc=0.9894
  [det2] gen 1: val_logprob=-1.1661 val_acc=0.6908
  [det2] gen 200: val_logprob=-0.5008 val_acc=0.9042
  [det2] gen 400: val_logprob=-0.3381 val_acc=0.9431
  [det2] gen 600: val_logprob=-0.2678 val_acc=0.9581
  [det2] gen 800: val_logprob=-0.2218 val_acc=0.9669
  [det2] gen 1000: val_logprob=-0.1951 val_acc=0.9713
  [det2] gen 1200: val_logprob=-0.1719 val_acc=0.9717
  [det2] gen 1400: val_logprob=-0.1657 val_acc=0.9729
  [det2] gen 1600: val_logprob=-0.1526 val_acc=0.9768
  [det2] gen 1800: val_logprob=-0.1143 val_acc=0.9819
  [det2] gen 2000: val_logprob=-0.1320 val_acc=0.9776
  [det2] gen 2200: val_logprob=-0.1530 val_acc=0.9773
