=== MNIST-Pipe battery ===
building statistics layer (features are the environment)…
stats layer v2: 677 fixed dims (deskew + zones + profiles + grad-hist + PCA)
centroid baseline (no evolution): 0.9095
--- LAYER 2a: detector genomes (10x one-vs-rest) ---
  [det0] gen 1: val_logprob=-1.0224 val_acc=0.7571
  [det0] gen 200: val_logprob=-0.4444 val_acc=0.9254
  [det0] gen 400: val_logprob=-0.2905 val_acc=0.9604
  [det0] gen 600: val_logprob=-0.2212 val_acc=0.9707
  [det0] gen 800: val_logprob=-0.1816 val_acc=0.9785
  [det0] gen 1000: val_logprob=-0.1291 val_acc=0.9833
  [det0] gen 1200: val_logprob=-0.1193 val_acc=0.9845
  [det0] gen 1400: val_logprob=-0.0986 val_acc=0.9884
  [det0] gen 1600: val_logprob=-0.1196 val_acc=0.9871
  [det0] gen 1800: val_logprob=-0.0954 val_acc=0.9871
  [det0] gen 2000: val_logprob=-0.0858 val_acc=0.9856
  [det0] gen 2200: val_logprob=-0.0744 val_acc=0.9883
  [det0] gen 2400: val_logprob=-0.0877 val_acc=0.9894
  [det0] gen 2600: val_logprob=-0.0644 val_acc=0.9904
  [det0] gen 2800: val_logprob=-0.0625 val_acc=0.9907
  [det0] gen 3000: val_logprob=-0.0654 val_acc=0.9914
  [det0] gen 3200: val_logprob=-0.0683 val_acc=0.9903
  [det0] gen 3400: val_logprob=-0.0638 val_acc=0.9924
  [det0] gen 3600: val_logprob=-0.0564 val_acc=0.9941
  [det0] gen 3800: val_logprob=-0.0680 val_acc=0.9908
  [det0] gen 4000: val_logprob=-0.0636 val_acc=0.9908
  [det0] gen 4200: val_logprob=-0.0554 val_acc=0.9915
  [det0] gen 4400: val_logprob=-0.0744 val_acc=0.9893
  [det0] gen 4600: val_logprob=-0.0958 val_acc=0.9885
  [det0] gen 4800: val_logprob=-0.0889 val_acc=0.9922
  [det0] gen 5000: val_logprob=-0.0821 val_acc=0.9925
[detector 0] done: balanced val_acc=0.9915
  [det1] gen 1: val_logprob=-0.9959 val_acc=0.7667
  [det1] gen 200: val_logprob=-0.3282 val_acc=0.9464
  [det1] gen 400: val_logprob=-0.1712 val_acc=0.9734
  [det1] gen 600: val_logprob=-0.1363 val_acc=0.9791
  [det1] gen 800: val_logprob=-0.1767 val_acc=0.9839
  [det1] gen 1000: val_logprob=-0.1356 val_acc=0.9889
  [det1] gen 1200: val_logprob=-0.1334 val_acc=0.9892
  [det1] gen 1400: val_logprob=-0.1542 val_acc=0.9862
  [det1] gen 1600: val_logprob=-0.1409 val_acc=0.9891
  [det1] gen 1800: val_logprob=-0.1380 val_acc=0.9887
  [det1] gen 2000: val_logprob=-0.1241 val_acc=0.9927
  [det1] gen 2200: val_logprob=-0.1179 val_acc=0.9911
  [det1] gen 2400: val_logprob=-0.1362 val_acc=0.9884
  [det1] gen 2600: val_logprob=-0.1377 val_acc=0.9893
  [det1] gen 2800: val_logprob=-0.1390 val_acc=0.9899
  [det1] gen 3000: val_logprob=-0.1178 val_acc=0.9900
  [det1] gen 3200: val_logprob=-0.1362 val_acc=0.9901
  [det1] gen 3400: val_logprob=-0.0875 val_acc=0.9908
  [det1] gen 3600: val_logprob=-0.0984 val_acc=0.9912
  [det1] gen 3800: val_logprob=-0.1322 val_acc=0.9918
  [det1] gen 4000: val_logprob=-0.1393 val_acc=0.9906
  [det1] gen 4200: val_logprob=-0.1305 val_acc=0.9913
  [det1] gen 4400: val_logprob=-0.1434 val_acc=0.9902
  [det1] gen 4600: val_logprob=-0.1377 val_acc=0.9892
  [det1] gen 4800: val_logprob=-0.1367 val_acc=0.9886
  [det1] gen 5000: val_logprob=-0.1312 val_acc=0.9877
[detector 1] done: balanced val_acc=0.9908
  [det2] gen 1: val_logprob=-1.0856 val_acc=0.7137
  [det2] gen 200: val_logprob=-0.4279 val_acc=0.9334
  [det2] gen 400: val_logprob=-0.3567 val_acc=0.9528
  [det2] gen 600: val_logprob=-0.2524 val_acc=0.9646
  [det2] gen 800: val_logprob=-0.2695 val_acc=0.9713
  [det2] gen 1000: val_logprob=-0.2316 val_acc=0.9737
  [det2] gen 1200: val_logprob=-0.2122 val_acc=0.9756
  [det2] gen 1400: val_logprob=-0.2004 val_acc=0.9753
  [det2] gen 1600: val_logprob=-0.2008 val_acc=0.9742
  [det2] gen 1800: val_logprob=-0.2153 val_acc=0.9752
  [det2] gen 2000: val_logprob=-0.1421 val_acc=0.9816
  [det2] gen 2200: val_logprob=-0.1677 val_acc=0.9795
  [det2] gen 2400: val_logprob=-0.1555 val_acc=0.9827
  [det2] gen 2600: val_logprob=-0.1765 val_acc=0.9795
  [det2] gen 2800: val_logprob=-0.1516 val_acc=0.9810
  [det2] gen 3000: val_logprob=-0.1355 val_acc=0.9813
